tag,minTRx
CWECN10TEST336,924
CWECN10TEST337,621
CWECN10TEST338,863
CWECN10TEST339,936
CWECN10TEST34,957
CWECN10TEST340,972
CWECN10TEST341,795
CWECN10TEST342,751
CWECN10TEST343,1003
CWECN10TEST344,1003
CWECN10TEST345,717
CWECN10TEST346,896
CWECN10TEST347,557
CWECN10TEST348,978
CWECN10TEST349,751
CWECN10TEST35,802
CWECN10TEST350,968
CWECN10TEST351,950
CWECN10TEST352,972
CWECN10TEST353,874
CWECN10TEST354,874
CWECN10TEST355,906
CWECN10TEST356,828
CWECN10TEST357,878
CWECN10TEST358,809
CWECN10TEST359,897
CWECN10TEST36,815
CWECN10TEST360,872
CWECN10TEST361,980
CWECN10TEST362,922
CWECN10TEST363,1028
CWECN10TEST364,957
CWECN10TEST365,899
CWECN10TEST366,949
CWECN10TEST367,798
CWECN10TEST368,862
CWECN10TEST369,848
CWECN10TEST37,834
CWECN10TEST370,844
CWECN10TEST371,874
CWECN10TEST372,1009
CWECN10TEST373,1044
CWECN10TEST374,852
CWECN10TEST375,815
CWECN10TEST376,980
CWECN10TEST377,924
CWECN10TEST378,991
CWECN10TEST379,767
CWECN10TEST38,913
CWECN10TEST380,866
CWECN10TEST381,933
CWECN10TEST382,867
CWECN10TEST383,908
CWECN10TEST384,907
CWECN10TEST385,1018
CWECN10TEST386,894
CWECN10TEST387,859
CWECN10TEST388,913
CWECN10TEST389,897
CWECN10TEST39,843
CWECN10TEST390,874
CWECN10TEST391,446
CWECN10TEST392,830
CWECN10TEST393,985
CWECN10TEST394,866
CWECN10TEST395,901
CWECN10TEST396,791
CWECN10TEST397,926
CWECN10TEST398,907
CWECN10TEST399,963
CWECN10TEST4,957
CWECN10TEST40,827
CWECN10TEST400,813
CWECN10TEST401,907
CWECN10TEST402,883
CWECN10TEST403,882
CWECN10TEST404,782
CWECN10TEST405,969
CWECN10TEST406,782
CWECN10TEST407,951
CWECN10TEST408,1045
CWECN10TEST409,863
CWECN10TEST41,829
CWECN10TEST410,655
CWECN10TEST411,817
CWECN10TEST412,944
CWECN10TEST413,928
CWECN10TEST414,1105
CWECN10TEST415,961
CWECN10TEST416,931
CWECN10TEST417,743
CWECN10TEST418,971
CWECN10TEST419,906
CWECN10TEST42,882
CWECN10TEST420,813
CWECN10TEST421,813
CWECN10TEST422,803
CWECN10TEST423,959
CWECN10TEST424,916
CWECN10TEST425,657
CWECN10TEST426,941
CWECN10TEST427,642
CWECN10TEST428,790
CWECN10TEST429,982
CWECN10TEST43,506
CWECN10TEST430,816
CWECN10TEST431,997
CWECN10TEST432,498
CWECN10TEST433,931
CWECN10TEST434,951
CWECN10TEST435,935
CWECN10TEST436,665
CWECN10TEST437,997
CWECN10TEST438,844
CWECN10TEST439,810
CWECN10TEST44,918
CWECN10TEST440,1052
CWECN10TEST441,603
CWECN10TEST442,942
CWECN10TEST443,906
CWECN10TEST444,903
CWECN10TEST445,720
CWECN10TEST446,843
CWECN10TEST447,1050
CWECN10TEST448,578
CWECN10TEST449,853
CWECN10TEST45,900
CWECN10TEST450,733
CWECN10TEST451,877
CWECN10TEST452,1068
CWECN10TEST453,915
CWECN10TEST454,874
CWECN10TEST455,506
CWECN10TEST456,1035
CWECN10TEST457,968
CWECN10TEST458,1005
CWECN10TEST459,654
CWECN10TEST46,916
CWECN10TEST460,814
CWECN10TEST461,484
CWECN10TEST462,557
CWECN10TEST463,901
CWECN10TEST464,891
CWECN10TEST465,574
CWECN10TEST466,921
CWECN10TEST467,996
CWECN10TEST468,772
CWECN10TEST469,803
CWECN10TEST47,686
CWECN10TEST470,730
CWECN10TEST471,1021
CWECN10TEST472,885
CWECN10TEST473,965
CWECN10TEST474,828
CWECN10TEST475,918
CWECN10TEST476,901
CWECN10TEST477,930
CWECN10TEST478,1073
CWECN10TEST479,966
CWECN10TEST48,878
CWECN10TEST480,996
CWECN10TEST481,716
CWECN10TEST482,726
CWECN10TEST483,959
CWECN10TEST484,636
CWECN10TEST485,866
CWECN10TEST486,978
CWECN10TEST487,1102
CWECN10TEST488,891
CWECN10TEST489,903
CWECN10TEST49,519
CWECN10TEST490,916
CWECN10TEST491,955
CWECN10TEST492,935
CWECN10TEST493,970
CWECN10TEST494,914
CWECN10TEST495,872
CWECN10TEST496,813
CWECN10TEST497,1060
CWECN10TEST498,551
CWECN10TEST499,578
CWECN10TEST5,904
CWECN10TEST50,868
CWECN10TEST500,992
CWECN10TEST501,1035
CWECN10TEST502,866
CWECN10TEST503,693
CWECN10TEST504,871
CWECN10TEST505,1144
CWECN10TEST506,839
CWECN10TEST507,1131
CWECN10TEST508,644
CWECN10TEST509,748
CWECN10TEST51,812
CWECN10TEST510,970
CWECN10TEST511,796
CWECN10TEST512,960
CWECN10TEST513,973
CWECN10TEST514,855
CWECN10TEST515,950
CWECN10TEST516,972
CWECN10TEST517,810
CWECN10TEST518,875
CWECN10TEST519,655
CWECN10TEST52,795
CWECN10TEST520,1118
CWECN10TEST521,743
CWECN10TEST522,957
CWECN10TEST523,646
CWECN10TEST524,581
CWECN10TEST525,1040
CWECN10TEST526,911
CWECN10TEST527,806
CWECN10TEST528,592
CWECN10TEST529,675
CWECN10TEST53,813
CWECN10TEST530,454
CWECN10TEST531,447
CWECN10TEST532,743
CWECN10TEST533,1008
CWECN10TEST534,794
